#x	#Density

-2.475	0.26672
-2.425	0.2656
-2.375	0.24544
-2.325	0.28288
-2.275	0.24928
-2.225	0.28288
-2.175	0.29136
-2.125	0.276
-2.075	0.25312
-2.025	0.28096
-1.975	0.30416
-1.925	0.27664
-1.875	0.27472
-1.825	0.25792
-1.775	0.28464
-1.725	0.27008
-1.675	0.2688
-1.625	0.2536
-1.575	0.25344
-1.525	0.24
-1.475	0.26384
-1.425	0.27392
-1.375	0.24112
-1.325	0.22752
-1.275	0.27504
-1.225	0.26928
-1.175	0.24768
-1.125	0.2576
-1.075	0.28096
-1.025	0.25792
-0.975	0.2456
-0.925	0.2952
-0.875	0.27536
-0.825	0.29472
-0.775	0.23984
-0.725	0.2672
-0.675	0.27376
-0.625	0.24752
-0.575	0.27024
-0.525	0.28048
-0.475	0.2696
-0.425	0.24752
-0.375	0.27792
-0.325	0.26944
-0.275	0.26624
-0.225	0.27232
-0.175	0.24832
-0.125	0.25312
-0.075	0.27568
-0.025	0.26928
0.025	0.26144
0.075	0.2648
0.125	0.24352
0.175	0.272
0.225	0.26928
0.275	0.30432
0.325	0.268
0.375	0.26672
0.425	0.26688
0.475	0.28528
0.525	0.24576
0.575	0.27504
0.625	0.25728
0.675	0.31424
0.725	0.29824
0.775	0.28064
0.825	0.27728
0.875	0.22416
0.925	0.26768
0.975	0.24848
1.025	0.26848
1.075	0.28912
1.125	0.27264
1.175	0.30624
1.225	0.25904
1.275	0.25776
1.325	0.2816
1.375	0.25664
1.425	0.2592
1.475	0.25936
1.525	0.2736
1.575	0.2552
1.625	0.28944
1.675	0.31168
1.725	0.29552
1.775	0.28544
1.825	0.2864
1.875	0.27024
1.925	0.288
1.975	0.24608
2.025	0.2416
2.075	0.28528
2.125	0.27776
2.175	0.24032
2.225	0.2568
2.275	0.29232
2.325	0.26944
2.375	0.28608
2.425	0.24
2.475	0.2616
