#z	#Density

-2.475	0.0
-2.425	0.0
-2.375	0.0
-2.325	0.0
-2.275	0.0
-2.225	0.0
-2.175	0.0
-2.125	0.0
-2.075	0.0
-2.025	0.0
-1.975	0.428
-1.925	0.41024
-1.875	0.40384
-1.825	0.35472
-1.775	0.36736
-1.725	0.34576
-1.675	0.34208
-1.625	0.35552
-1.575	0.3568
-1.525	0.34576
-1.475	0.34928
-1.425	0.33712
-1.375	0.35088
-1.325	0.33056
-1.275	0.3456
-1.225	0.36208
-1.175	0.31888
-1.125	0.376
-1.075	0.37264
-1.025	0.39824
-0.975	0.26496
-0.925	0.28048
-0.875	0.26112
-0.825	0.3
-0.775	0.29648
-0.725	0.32032
-0.675	0.30832
-0.625	0.3304
-0.575	0.33776
-0.525	0.32544
-0.475	0.30496
-0.425	0.28944
-0.375	0.27376
-0.325	0.29648
-0.275	0.30688
-0.225	0.34768
-0.175	0.30704
-0.125	0.32448
-0.075	0.3512
-0.025	0.3464
0.025	0.32496
0.075	0.30784
0.125	0.30592
0.175	0.30656
0.225	0.31968
0.275	0.3328
0.325	0.26096
0.375	0.32864
0.425	0.31872
0.475	0.33488
0.525	0.32128
0.575	0.35232
0.625	0.28544
0.675	0.3152
0.725	0.32064
0.775	0.32944
0.825	0.2824
0.875	0.2384
0.925	0.24416
0.975	0.26864
1.025	0.43024
1.075	0.3968
1.125	0.38384
1.175	0.3136
1.225	0.3456
1.275	0.38288
1.325	0.30368
1.375	0.34832
1.425	0.31568
1.475	0.33776
1.525	0.33504
1.575	0.34528
1.625	0.33744
1.675	0.37664
1.725	0.33728
1.775	0.38896
1.825	0.392
1.875	0.42464
1.925	0.40176
1.975	0.44512
2.025	0.0
2.075	0.0
2.125	0.0
2.175	0.0
2.225	0.0
2.275	0.0
2.325	0.0
2.375	0.0
2.425	0.0
2.475	0.0
