#N	#Pc_Random	#Pc_Grid	#Pc_Analytic
1	1.0	0.975	0.96649
2	0.933	0.955	0.932979
3	0.896	0.913	0.899469
4	0.8585	0.87	0.865959
5	0.832	0.8465	0.838608
6	0.811333	0.807	0.80576
7	0.781	0.7565	0.775646
8	0.764	0.717	0.749644
9	0.7325	0.696	0.727414
10	0.714	0.6885	0.712732
11	0.67975	0.69125	0.689552
12	0.681	0.671	0.668511
13	0.6525	0.635	0.63746
14	0.614333	0.613	0.602001
15	0.569125	0.58775	0.572406
16	0.557556	0.57563	0.547239
17	0.534065	0.540387	0.527322
18	0.517725	0.513706	0.51363
19	0.498362	0.498787	0.487982
20	0.480969	0.484793	0.470967
21	0.460964	0.463444	0.448631
22	0.442367	0.44594	0.431096
23	0.425439	0.427128	0.416442
24	0.409443	0.410934	0.398704
25	0.392438	0.39344	0.381682
26	0.373786	0.375131	0.363026
27	0.356758	0.358262	0.344987
28	0.340945	0.340584	0.330523
29	0.326335	0.326661	0.316783
30	0.310656	0.311723	0.301816
31	0.297779	0.297642	0.290225
32	0.283567	0.283015	0.278086
33	0.269666	0.268976	0.267356
34	0.256769	0.254894	0.25609
35	0.243186	0.241683	0.243599
36	0.231175	0.229488	0.234968
37	0.219216	0.21684	0.225543
38	0.207964	0.206134	0.216463
39	0.196232	0.194277	0.20763
40	0.184941	0.182974	0.199851
41	0.174547	0.171788	0.19097
42	0.163845	0.161274	0.181659
43	0.155062	0.152948	0.172952
44	0.144082	0.142474	0.166051
45	0.137069	0.133537	0.162108
46	0.130232	0.127516	0.164515
47	0.119142	0.117425	0.163831
48	0.112163	0.113016	0.182177
49	0.102831	0.105119	0.165913
50	0.093533	0.094067	0.148382
51	0.082556	0.080222	0.131457
52	0.079	0.080333	0.173571
